City,Lat,Long,City Id,Date,Country,Max Temp,Humidity,Cloudiness,Wind Speed
chalmette,28.986612781005306,-89.02601667087649,4319518,1505277300,US,67.62,82,1,3.74
port macquarie,-31.998484465774187,157.9732255620106,2152659,1505275200,AU,91.4,13,0,11.41
maniitsoq,62.99848446577418,-55.02197524627431,3421982,1505278707,GL,37.26,98,92,9.44
hambantota,0.9830765344784036,84.99166456175801,1244926,1505278707,LK,75.6,100,92,6.42
tecoanapa,8.979792876989139,-101.01465016418287,3516171,1505278707,MX,71.46,100,92,2.73
kazerun,29.99696893154837,52.01389239706997,128321,1505278707,IR,95.5,19,0,2.95
kimberley,50.00202071230109,-116.01363980803234,990930,1505275200,ZA,66.2,15,0,17.22
chara,56.01894417782268,117.0007577671129,2025630,1505278708,RU,50.13,61,0,2.39
san ramon,-13.002273301338722,-64.95807021975246,5392593,1505277300,US,67.39,82,1,5.82
minervino murge,41.011113917655976,15.986612781005304,3173404,1505276400,IT,64.17,68,0,4.7
amilly,48.00151553422582,3.0126294518817884,3037846,1505278708,FR,61.56,94,92,22.3
mahanoro,-20.00959838343016,49.96059611012882,1062553,1505278708,MG,69.21,89,44,1.83
shieli,42.992169739833294,65.9929275069462,1524801,1505278709,KZ,66.43,32,0,12.46
paradwip,15.990654205607477,89.01591310937106,1260393,1505278709,IN,85.06,89,80,12.24
sangar,65.00909320535489,129.03157362970447,2017215,1505278709,RU,53.37,63,32,3.4
parabel,59.01035615054307,82.00555695882798,1495586,1505278709,RU,46.62,75,12,10.11
maxixe,-22.00075776711291,34.0310684516292,1039536,1505278709,MZ,73.26,92,0,6.2
tandlianwala,31.001515534225813,72.9547865622632,1163968,1505278710,PK,92.61,79,20,5.53
berlevag,73.9893912604193,30.028289972215205,780687,1505274600,NO,48.2,87,20,8.05
kui buri,12.00959838343016,99.96413235665572,1152562,1505275200,TH,91.4,63,20,5.82
henties bay,-24.01187168476888,7.95882798686537,3356832,1505278710,NA,56.8,98,92,5.19
arman,55.99040161656984,147.9739833291235,2127060,1505275200,RU,59,30,20,11.18
bulolo,-7.019954533973226,145.98560242485476,2098869,1505278711,PG,73.81,70,32,1.72
vardo,77.99444304117202,35.99696893154837,777019,1505274600,NO,44.6,100,75,13.87
vilyuysk,64.98282394544077,121.97145743874715,2013392,1505278711,RU,52.11,76,76,3.62
bilibino,65.98408689062894,164.04395049254862,2126682,1505278711,RU,33.12,75,88,5.86
neiafu,-17.98509724677949,-177.9878757261935,4032420,1505277900,TO,77,88,75,5.82
palmer,54.01515534225815,-144.00050517807526,4946620,1505275080,US,58.57,93,1,2.28
sao joao da barra,-22.99115938368275,-39.9795402879515,3448903,1505278711,BR,72.36,97,0,15.7
ikom,5.993180095983834,8.960090932053548,2338242,1505278712,NG,69.75,98,92,4.63
urucara,-1.9840868906289466,-57.974488507198785,3385670,1505278712,BR,81.36,71,0,4.41
garmsar,34.98433947966658,52.03207880777974,32723,1505278712,IR,79.93,23,0,3.18
predivinsk,56.99115938368275,94.03258398585501,1494237,1505278712,RU,54.81,99,80,2.62
kousseri,13.000757767112907,14.005556958827986,2229798,1505275200,CM,75.2,88,0,5.82
montrose,37.9964637534731,-107.95554432937611,5431710,1505277300,US,67.12,42,1,5.82
kaniama,-6.984339479666582,24.96236423339227,214389,1505278713,CD,68.31,94,32,3.4
solnechnyy,63.00303106845163,138.97297297297297,2016307,1505278713,RU,54.27,99,92,3.29
pandan niog,5.9939378630967415,120.01237686284415,1695506,1505278713,PH,82.45,100,56,14.36
thetford mines,46.01515534225815,-71.03612023238192,6943827,1505278714,CA,54.27,89,0,3.06
da nang,16.998737054811823,109.040919424097,1583992,1505277000,VN,92.17,63,20,14.99
launceston,-40.99318009598383,149.03788835564538,2160517,1505277000,AU,53.6,66,40,16.11
puerto del rosario,26.985855013892397,-12.973225562010608,2512186,1505277000,ES,68,82,0,1.12
vestmanna,67.00479919171508,-7.9739833291235165,2610343,1505276400,FO,48.2,93,80,8.05
cullman,34.01389239706997,-86.98282394544077,4057835,1505277300,US,59.94,100,20,6.76
fortuna,34.99242232887093,-136.98762313715585,5563839,1505277300,US,55.4,100,90,4.7
manikganj,23.986612781005306,89.97044708259662,1348441,1505277000,BD,87.8,74,75,5.82
ust-maya,60.020712301086135,135.02349078050014,2013918,1505278715,RU,55.26,73,44,4.63
tawau,4.0,118.00732508209144,1734199,1505275200,MY,87.8,66,75,6.93
beauceville,46.021470068199044,-70.97221520586007,6295855,1505278716,CA,55.35,92,0,3.4
souillac,-62.97751957565042,77.01540793129578,933995,1505278800,MU,77,57,40,14.99
colac,-39.978529931800956,143.99520080828492,2171069,1505278716,AU,45.55,100,92,8.43
wanaka,-44.993685274059104,169.01313462995705,2184707,1505278513,NZ,46.54,76,36,3.4
tierralta,8.012882040919424,-76.01010356150543,3667158,1505278716,CO,76.69,90,44,8.43
omboue,-2.017428643596868,8.02626925991412,2396853,1505278716,GA,75.69,100,76,9.55
godinesti,45.00328365748926,23.025006314725943,677003,1505278717,RO,58.06,83,0,2.84
malakal,9.001262945188179,31.04420308158626,370737,1505278717,SS,85.23,66,0,4.18
verkhoturye,59.007830260166706,61.012629451881786,1487219,1505278717,RU,47.16,70,12,3.62
nhamunda,-1.9904016165698408,-57.00959838343016,3393929,1505278717,BR,79.66,76,12,4.52
tatawin,32.989391260419296,10.012882040919424,649549,1505276400,FI,55.4,100,75,5.82
altay,47.007830260166706,91.02248042434958,1529651,1505278718,CN,41.67,62,0,3.18
dubna,54.01212427380651,36.962111644354636,564719,1505278718,RU,64.98,80,68,12.68
opuwo,-20.002778479413994,8.969436726446073,3354077,1505278718,NA,50.31,84,12,2.95
rio claro,9.987117959080576,-61.03586764334428,3451234,1505278718,BR,61.75,54,0,3.74
stokmarknes,69.01515534225814,15.008588027279616,3136690,1505274600,NO,53.74,87,75,3.36
snasa,62.99722152058601,13.013387218994696,3138076,1505276400,NO,51.8,87,75,6.93
kaeo,-34.01086132861834,173.964637534731,2189343,1505278719,NZ,56.97,83,88,14.92
erenhot,42.98080323313968,109.98433947966659,2037485,1505278719,CN,83.61,28,68,7.09
harper,-1.997979287698914,-10.003788835564537,2276492,1505275200,LR,75.2,88,90,6.93
bairiki,1.0156605203334175,165.97979287698914,624784,1505278719,BY,61.47,100,80,7.43
calmar,53.011871684768884,-113.99823187673655,5913601,1505275200,CA,48.2,87,75,4.52
coahuayana,4.002273301338722,-110.97777216468805,4013679,1505278720,MX,81.1,100,12,2.28
laizhou,37.01641828744633,119.9724677948977,1804578,1505278720,CN,84.87,58,24,4.18
bud,65.01010356150543,5.956807274564284,4255151,1505277300,US,64.4,72,90,11.41
ardesen,41.01363980803233,41.00681990401617,751949,1505277000,TR,71.6,49,0,25.28
sudak,44.00959838343016,34.97272038393534,692315,1505278721,UA,76.95,65,0,4.74
zheleznodorozhnyy,63.989391260419296,51.00151553422582,463355,1505275200,RU,57.65,87,0,8.95
carauari,-3.988128315231119,-66.0035362465269,3664659,1505278721,BR,76.5,82,48,6.42
hofn,59.99318009598383,-14.008082849204344,2630299,1505278721,IS,46.9,100,32,15.82
rawson,-47.01515534225815,-61.98459206870422,3839307,1505278721,AR,49.77,80,12,12.01
kazalinsk,47.994190452134376,62.98711795908058,1516789,1505278722,KZ,64.71,36,0,4.41
birjand,31.977266986612783,60.036625410457184,140463,1505275200,IR,69.8,22,0,6.93
ejura,7.9780247537256885,-1.0174286435968678,2301217,1505278722,GH,72.72,95,88,3.4
jurado,7.016165698408689,-77.96716342510734,3680090,1505278722,CO,77.41,100,88,7.54
tigil,59.018186410709774,157.96968931548372,2120612,1505278722,RU,49.15,52,88,11.34
yanan,37.0176812326345,108.99267491790856,658225,1505276400,FI,55.4,100,75,5.82
santa maria del oro,26.006062136903257,-105.97802475372569,3984078,1505278723,MX,50.95,67,0,2.17
rawah,34.9795402879515,41.98509724677949,92004,1505278723,IQ,87.4,30,0,10.78
ciudad real,38.981308411214954,-4.040919424096995,2519402,1505278723,ES,51.31,72,0,3.62
sita road,27.002778479413994,68.01465016418287,1164716,1505278723,PK,98.56,52,0,4.07
bata,1.9868653700429402,10.006314725940895,2310046,1505275200,GQ,75.2,100,75,5.82
bossangoa,6.00479919171508,17.027279616064664,2388036,1505278724,CF,69.66,97,68,9.78
buraydah,28.993180095983835,43.02576408183885,107304,1505275200,SA,82.4,26,0,4.63
rocha,-42.99090679464511,-45.97322556201061,3440777,1505278724,UY,41.05,91,0,3.4
shimoda,24.020459712048496,140.98130841121494,1852357,1505275200,JP,82.4,69,40,8.05
galveston,26.004294013639807,-93.03990906794645,4692883,1505274780,US,76.44,61,1,11.41
shunyi,40.98509724677949,116.96943672644608,2034754,1505277000,CN,82.4,58,36,4.47
jieshou,33.00404142460217,115.01995453397322,1805844,1505278725,CN,83.44,68,8,9.44
elko,39.011871684768884,-115.95630209648901,5703670,1505274960,US,71.6,37,1,2.51
ankang,33.01717605455923,109.02727961606466,1789065,1505278725,CN,73.35,69,48,3.29
cabra,14.022227835311947,114.96211164435464,2520645,1505277000,ES,58.93,41,8,2.39
kadykchan,62.020712301086135,145.96286941146755,2123100,1505278726,RU,45.36,56,0,5.86
novopokrovka,45.99444304117201,134.96160646627936,699328,1505277000,UA,69.8,73,0,8.95
camapua,-18.99595857539783,-53.98156100025259,3468020,1505278726,BR,76.95,33,32,10.67
les escoumins,48.993685274059104,-69.98534983581713,6944110,1505278726,CA,50.13,87,0,3.96
florianopolis,-27.98812831523112,-47.997474109623646,3463237,1505275200,BR,68,88,75,1.16
spornoye,63.0176812326345,151.03788835564538,628397,1505278726,BY,59.5,100,92,23.2
am timan,10.981561000252588,21.026521848951756,245338,1505278727,TD,76.41,79,44,11.68
balkhash,45.97878252083859,76.01363980803234,1525798,1505278727,KZ,51.12,100,24,5.08
fresnillo,22.98737054811821,-103.00783026016671,4006163,1505274120,MX,57.2,54,5,5.3
mitzic,0.9904016165698408,12.005051780752716,2398283,1505278667,GA,70.93,96,92,2.06
poronaysk,49.9795402879515,143.96160646627936,2121909,1505278727,RU,56.16,100,80,18.39
luwuk,-1.0212174791614044,124.97625663046223,1637001,1505278728,ID,80.29,88,92,4.74
